mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__max_depth,param_model__max_features,param_model__min_samples_leaf,param_model__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,mean_train_score,std_train_score
17.810011088848114,6.4772914576309795,1.6857911944389343,0.4016456207370586,8,0.7,3,200,"{'model__max_depth': 8, 'model__max_features': 0.7, 'model__min_samples_leaf': 3, 'model__n_estimators': 200}",0.5273666092943201,0.5473204104903079,0.4624951418577536,0.47954545454545455,0.5041819040469591,0.034435454409044074,16,0.6235380116959064,0.5919131411456383,0.5831393211616224,0.5562060313868255,0.5886991263474981,0.024035341048497645
32.5773646235466,14.342624927809977,1.9272856712341309,0.32138800801801176,8,0.7,3,400,"{'model__max_depth': 8, 'model__max_features': 0.7, 'model__min_samples_leaf': 3, 'model__n_estimators': 400}",0.527582058772985,0.5473170731707317,0.46222567488832783,0.4787837531200363,0.5039771399880202,0.03468945653573079,20,0.624315443592552,0.590347923681257,0.5834557023984337,0.5557855312438399,0.5884761502290207,0.02440204884178613
18.163046836853027,6.1947954561822005,1.72492253780365,0.6180383465828083,8,0.7,8,200,"{'model__max_depth': 8, 'model__max_features': 0.7, 'model__min_samples_leaf': 8, 'model__n_estimators': 200}",0.5287671232876713,0.5482299447872686,0.4614194546509379,0.4798185941043084,0.5045587792075465,0.03523596425648131,12,0.6064586754241926,0.5855477855477855,0.5785527037736999,0.5531203931203931,0.5809198894665177,0.0190529694243012
31.674297332763672,14.600117910930045,2.0569210052490234,0.2076758988579585,8,0.7,8,400,"{'model__max_depth': 8, 'model__max_features': 0.7, 'model__min_samples_leaf': 8, 'model__n_estimators': 400}",0.527235354573484,0.5479051640142903,0.46138958776853106,0.47974654899298486,0.5040691638373225,0.03489771880444727,17,0.6085844748858448,0.5846555908157551,0.5784469096671949,0.5518261126718912,0.5808782720101715,0.020198027751532167
19.6164430975914,7.957413165221933,1.903155505657196,0.4610530501440401,16,sqrt,1,200,"{'model__max_depth': 16, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__n_estimators': 200}",0.5200937105784826,0.542803865061875,0.46237206502107164,0.4901584253480557,0.5038570165023712,0.03036914489353059,21,0.8409703504043127,0.7604361064728415,0.7207331617600904,0.6941378961223044,0.7540693786898872,0.055442312518311714
31.498270332813263,12.607629149446986,1.657260775566101,0.5953531502218381,16,sqrt,1,400,"{'model__max_depth': 16, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__n_estimators': 400}",0.5213304410701374,0.5391156462585034,0.4619380619380619,0.4846465127350631,0.5017576655004414,0.03023699987865279,22,0.8473663975394079,0.7624494625776551,0.7253592135114696,0.6978019188791309,0.7582442481269158,0.05633636039680768
12.048453748226166,4.308785834916874,1.4658949375152588,0.3869976508074461,16,sqrt,3,200,"{'model__max_depth': 16, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 3, 'model__n_estimators': 200}",0.5286056868790682,0.5477518871020676,0.45934880093585495,0.4832244989867147,0.5047327184759263,0.035152777153952874,9,0.6929452937925953,0.6601794992914501,0.6354090354090354,0.614431773495871,0.6507414004972379,0.029256267492246635
16.927525222301483,6.448720625749809,0.9801806211471558,0.3466831339354141,16,sqrt,3,400,"{'model__max_depth': 16, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 3, 'model__n_estimators': 400}",0.5301783264746228,0.5481967213114755,0.4583737628565884,0.48247795613836764,0.5048066916952636,0.03598959514074936,6,0.6933136857616504,0.660364873806598,0.6372686740365235,0.6146870379497289,0.6514085678886252,0.029088922628942502
6.338927388191223,1.0281361968096003,0.8679498434066772,0.513888834102325,16,sqrt,8,200,"{'model__max_depth': 16, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 8, 'model__n_estimators': 200}",0.5289647019084615,0.5499281035309155,0.4612710063743481,0.4758771929824561,0.5040102511990453,0.036569405880406095,19,0.6100708962006908,0.5967682702901211,0.5880028735632183,0.5603631446783852,0.5888012961831038,0.018201885211532987
10.263559579849243,5.612317899665759,0.9852494597434998,0.45127888491504736,16,sqrt,8,400,"{'model__max_depth': 16, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 8, 'model__n_estimators': 400}",0.5289757412398922,0.5493452571063558,0.4607993850883935,0.47692307692307695,0.5040108650894296,0.0363298514047932,18,0.6094202898550725,0.5952293577981651,0.5884042362232992,0.5626273406422819,0.5889203061297047,0.01696790962351247
